sentence,tokens,cluster
You may walk and you may go up and down stairs ,"['walk', 'stair']",0
"The patient was encouraged to ambulate, sit and get out of bed, use the incentive spirometer, and had oxygen saturation levels monitored as indicated.","['patient', 'encourage', 'ambulate', 'sit', 'bed', 'use', 'incentive', 'spirometer', 'oxygen', 'saturation', 'level', 'monitor', 'indicate']",3
"When she was standing, she was able to walk with walker but she felt unsteady and almost fell.","['stand', 'able', 'walk', 'walker', 'feel', 'unsteady', 'fall']",0
"When you go home, you may walk and use stairs  You may shower (let the soapy water run over groin incision, rinse and pat dry)","['home', 'walk', 'use', 'stair', 'shower', 'let', 'soapy', 'water', 'run', 'groin', 'incision', 'rinse', 'pat', 'dry']",2
"pain but appearing comfortable, walking, eating and passing soft stool. .","['pain', 'appear', 'comfortable', 'walk', 'eat', 'pass', 'soft', 'stool']",1
"At discharge, he was tolerating a regular diet, passing flatus, stooling, voiding, and ambulating independently.","['discharge', 'tolerate', 'regular', 'diet', 'pass', 'flatus', 'stooling', 'voiding', 'ambulate', 'independently']",3
"However, her left leg weakness was much improved and she was able to walk without her cane this AM.","['left', 'leg', 'weakness', 'improve', 'able', 'walk', 'cane']",0
"Finally, got up out of chair with walker and walked to the door to unlock.","['finally', 'get', 'chair', 'walker', 'walk', 'door', 'unlock']",0
She usually walks with a walker because of knee replacement.,"['usually', 'walk', 'walker', 'knee', 'replacement']",0
She was able to eventually stand up with great difficulty and walked with her walker.,"['able', 'eventually', 'stand', 'great', 'difficulty', 'walk', 'walker']",0
She needed to use her cane to walk.,"['need', 'use', 'cane', 'walk']",0
Patients says that she first noticed rather acute onset dyspnea starting ___ when trying to walk up the stairs in her home.,"['patient', 'say', 'notice', 'acute', 'onset', 'dyspnea', 'start', 'try', 'walk', 'stair', 'home']",0
Physical therapy was consulted for mobilization OOB to ambulate.,"['physical', 'therapy', 'consult', 'mobilization', 'oob', 'ambulate']",3
"The patient was tolerating a diet, ambulating, voiding without assistance, and pain was well controlled.","['patient', 'tolerate', 'diet', 'ambulate', 'void', 'assistance', 'pain', 'control']",3
"Ultimately, 2 weeks ago when she could not even walk two steps she went back to the ED where Xrays were negative.","['ultimately', 'week', 'ago', 'walk', 'step', 'xray', 'negative']",0
Her secondary concern is that she is having trouble walking due to pain in her R-hip to R-thigh with weight bearing.,"['secondary', 'concern', 'have', 'trouble', 'walk', 'pain', 'hip', 'thigh', 'weight', 'bearing']",0
Prophylaxis: The patient received subcutaneous heparin and ___ dyne boots were used during this stay and was encouraged to get up and ambulate as early as possible.,"['prophylaxis', 'patient', 'receive', 'subcutaneous', 'heparin', 'dyne', 'boot', 'stay', 'encourage', 'ambulate', 'early', 'possible']",3
You will be more comfortable if you do not sit in a car or chair for more than ~45 minutes without getting up and walking around.,"['comfortable', 'sit', 'car', 'chair', 'minute', 'get', 'walk']",1
-Rehabilitation/ Physical Therapy: o2-3 times a day you should go for a walk for ___,"['physical', 'therapy', 'time', 'day', 'walk']",0
"The patient was tolerating a regular diet, ambulating, voiding without assistance, and pain was well controlled.","['patient', 'tolerate', 'regular', 'diet', 'ambulate', 'void', 'assistance', 'pain', 'control']",3
You can walk as much as you can tolerate.,"['walk', 'tolerate']",4
"""It was """"unbearable"""" and she had trouble walking although wasn't lightheaded","['unbearable', 'trouble', 'walk', 'lightheade']",0
" After 1 week, you may resume sexual activity  After 1 week, gradually increase your activities and distance walked as you can tolerate ","['week', 'resume', 'sexual', 'activity', 'week', 'gradually', 'increase', 'activity', 'distance', 'walk', 'tolerate']",3
