x,y,z,cluster
-10.728766,-41.853092,16.548115,2
20.316446,-24.649101,-9.232564,2
-1.0961406,-26.73364,27.359442,2
-7.5527167,-9.1219425,11.997162,2
-19.43656,-19.0028,13.741852,2
5.7985067,-29.66071,-20.532236,2
-7.199476,-27.155943,32.942024,2
-18.969093,-30.408484,19.812054,2
7.4437113,-28.046011,32.73747,2
-5.362035,-26.410122,28.208538,2
-13.135454,-33.3713,23.028559,2
3.8497417,-17.590523,25.637802,2
-12.625669,-36.014896,-14.258217,2
4.6982036,-39.872528,-13.618816,2
-9.367655,11.284097,2.2490451,1
4.1422677,-8.041552,27.437332,2
11.466661,-11.458231,-10.252328,1
-19.332088,-27.352797,14.661716,2
-29.023447,-37.195118,-9.733774,2
8.640912,-38.308388,-16.718626,2
-29.337673,-43.321716,12.689601,0
-1.1433976,-17.485058,30.191265,2
12.303765,-34.991314,6.147789,2
-14.267575,3.0711117,14.382135,1
-0.8880752,-28.520111,-11.617986,2
1.7780446,-21.642965,4.953766,2
-15.264774,-18.296513,-2.4852788,2
19.812553,1.406588,-0.75650775,1
-0.25923252,-42.376312,-17.628963,2
9.338332,-27.366089,3.8792653,2
18.934061,-34.77087,0.6999649,2
-12.70384,1.0048532,8.452417,1
-10.134823,-39.799366,-5.9060144,2
-6.829498,-52.561893,4.4201984,2
19.28945,-25.120651,-6.093511,2
11.538558,-15.700033,-19.820366,2
6.227139,-21.043808,-8.726008,2
10.816504,-29.709167,-12.200378,2
-19.854748,-46.911907,11.037909,0
-5.4579654,-48.140266,5.089615,2
10.414751,-17.698069,32.605495,2
5.443145,-33.43235,4.4586473,2
-23.600775,-31.372265,0.023580078,2
-11.501602,-22.675701,22.167149,2
20.77881,7.82769,5.6425843,1
3.2460465,-36.90629,-21.044287,2
-15.436629,-31.725756,1.6415446,2
6.8571334,-34.28791,-9.787095,2
-2.4801283,-21.049822,21.257221,2
-15.249061,-0.14789078,4.8503594,1
-2.9367714,-28.529737,23.291418,2
13.220932,-17.472977,27.002768,2
-27.041649,-40.94676,9.162354,0
18.891151,-9.000414,18.218693,2
-31.873323,-30.827301,-1.8506094,0
-16.648842,-9.161291,13.325299,2
12.9140625,-3.6935909,1.7673151,2
-15.264774,-18.296513,-2.4852788,2
-19.332088,-27.352797,14.661716,2
-7.7724395,-37.844894,14.415531,2
-10.773572,-16.766214,2.0554535,2
0.9321223,-44.27252,12.651322,2
6.9698443,-29.095533,27.698101,2
-15.370939,-7.114339,19.33178,2
-4.9345994,-21.768007,29.26038,2
-18.471285,-21.427788,-15.388817,2
-7.0790124,-33.62082,5.6442003,2
2.5522559,-5.7167344,20.081524,1
-7.7724395,-37.844894,14.415531,2
1.6621064,9.535598,3.2273765,1
1.8556447,-32.929718,26.256702,2
-12.232177,17.80211,-19.703075,1
-9.446949,-3.148608,11.589559,1
7.861453,-12.427053,32.743668,2
-9.148669,-37.915123,-1.2683308,2
10.629775,-10.625726,-17.13887,1
14.06321,-32.762863,-14.145792,2
41.877632,8.670559,11.250549,1
