x,y,z,cluster
-10.112805,-1.4006541,0.44400248,2
18.83124,4.321453,0.021937368,1
-8.782124,-12.136338,-2.1986723,2
3.104617,18.27327,-6.7155466,0
-6.4095745,-13.640911,1.1734649,2
15.856583,-3.6062083,-0.8262866,1
-7.361364,-13.509456,0.07103007,2
-9.61472,-10.299196,-3.9959018,2
-9.940153,-10.508604,-4.5416737,2
-8.64189,-12.4276285,-2.0801136,2
-10.388328,-7.949009,-5.529664,2
-7.7066145,-2.2763832,-3.9199939,2
14.4669285,-5.3969655,-0.8875245,1
16.455282,-1.7980169,-0.34586343,1
-8.750887,-12.036451,-2.0931122,2
-6.2273173,-13.736484,1.430181,2
18.73584,3.100671,0.051109463,1
-6.9623375,-13.143925,-0.33728424,2
-9.978725,-10.239946,-4.140588,2
17.213926,-0.3217866,-0.07019022,1
-2.1514373,-2.364925,-1.6904812,2
-10.16736,-0.94736093,0.7279234,2
3.1651514,17.218674,-7.4676685,0
2.2469163,16.085135,-7.6447387,0
19.742409,4.7637763,0.19179268,1
0.10596198,-2.5010047,-2.997092,1
-4.1710525,-14.650143,3.51539,2
1.8722974,-3.0153496,-4.429187,1
15.788377,-3.4647167,-0.8515755,1
-6.021136,5.648571,-1.3022826,0
2.4989727,17.548096,-7.401004,0
1.7838421,15.362396,-8.0039015,0
1.3919902,-2.9051554,-4.0170584,1
5.6271234,-3.1734076,-2.9986897,1
18.83124,4.321453,0.021937368,1
14.514531,-5.327702,-0.8748487,1
18.92428,3.273881,0.264694,1
20.041758,5.9355297,0.040468447,1
-9.575896,-1.8856233,0.59910613,2
6.286123,-2.6392472,-3.1617248,1
-7.812618,-13.103485,-0.39409608,2
-4.6846023,6.58262,-2.0490084,0
-10.558658,-8.150072,-5.493958,2
-8.76718,-0.19178961,-7.2577243,2
6.010328,-10.09181,-1.000099,1
17.414488,0.90540457,0.049529534,1
-10.178064,-7.9390554,-5.8592243,2
19.292534,4.1600766,-0.35146713,1
-8.438014,3.417078,-0.69867605,2
1.7838421,15.362396,-8.0039015,0
-7.2517123,-13.001081,0.20212725,2
7.213285,-10.706423,-1.8934808,1
-2.1514373,-2.364925,-1.6904812,2
-9.274529,2.3697941,-0.632563,2
-10.259617,-1.1840822,-6.941103,2
3.3360248,17.604624,-6.9215093,0
18.945057,4.1911845,-0.26043892,1
-4.1710525,-14.650143,3.51539,2
-6.9623375,-13.143925,-0.33728424,2
-10.042341,-1.481226,-6.454113,2
-4.719819,-14.339633,4.1316395,2
3.6711843,-4.267388,-9.8961935,1
-5.6200895,-2.41013,-1.8197651,2
2.5652475,16.803576,-7.652141,0
-10.508879,-1.1281695,-6.2571006,2
-1.7864054,-2.7986166,-2.6848507,1
0.7032662,-2.7392747,-3.5262249,1
2.1574066,15.993856,-7.992628,0
-10.042341,-1.481226,-6.454113,2
-1.0264883,3.0332017,2.9526386,4
-5.7203364,5.0952053,-0.4446572,0
-1.8068465,8.514606,-5.10062,0
2.6693296,17.90186,-6.889932,0
-3.1731718,-2.7040105,-2.1981046,2
12.901887,-7.1587367,-1.031004,1
17.724924,0.73151684,0.30257156,1
19.92767,5.6267977,-0.010631504,1
5.5791416,-5.0546927,-6.1248918,1
16.387203,-1.924213,-0.3675334,1
0.558584,-1.901766,-2.5034862,1
20.056637,6.7792354,0.75485456,1
19.03613,4.196154,0.4132117,1
16.455282,-1.7980169,-0.34586343,1
18.73584,3.100671,0.051109463,1
-0.6248765,12.005901,-7.878873,0
-4.921234,5.604616,-0.69709665,0
4.9743896,-0.9052302,1.232876,1
-1.6980778,10.128676,-6.972366,0
-5.7402644,-2.3876636,-1.7967085,2
-4.719819,-14.339633,4.1316395,2
19.558882,3.9832263,0.1233494,1
0.5607179,6.252834,-1.8561429,0
18.92428,3.273881,0.264694,1
2.2469163,16.085135,-7.6447387,0
2.6994417,16.655375,-7.446981,0
2.7791567,5.22878,-1.5730581,1
-9.058919,2.644906,-0.63463837,2
-0.73778933,-2.744581,-2.9577072,1
-3.6179686,-15.248633,4.5443974,2
2.5405467,16.840384,-7.647482,0
0.41846684,13.220695,-8.325356,0
17.724924,0.73151684,0.30257156,1
19.734623,5.3410954,-0.17288224,1
18.586706,3.4471657,0.11100071,1
17.321032,0.5853542,0.028158128,1
1.6079476,-2.9500155,-4.175676,1
-8.353224,3.4953864,-0.69537127,2
4.4503474,4.891302,-1.5820963,1
-0.20720436,8.014967,-4.3542337,0
-0.97619754,-0.63604623,9.59863,4
-7.5054717,-12.850244,0.09296481,2
4.2654095,4.928629,-1.571685,1
3.6711843,-4.267388,-9.8961935,1
-9.497366,-1.9690428,1.1476496,2
17.58501,0.7945424,-0.3011914,1
0.37581426,13.166301,-8.359211,0
17.058023,-0.5535989,-0.14455828,1
2.988107,3.8285058,-0.88612765,1
-4.719819,-14.339633,4.1316395,2
19.980694,6.9115024,0.9603863,1
-6.2688036,-13.714699,1.3743854,2
-9.4551115,-10.402962,-4.160002,2
-6.198156,-13.751669,1.4756362,2
-2.55813,7.1527276,1.6521606,0
15.5353985,-3.3778193,-0.31290627,1
18.201033,1.9556521,0.031007616,1
16.451738,-1.8050116,-0.34507972,1
-2.9011903,7.8387623,2.838551,3
0.37581426,13.166301,-8.359211,0
-10.259617,-1.1840822,-6.941103,2
-5.500809,5.963138,-1.4598879,0
-9.142229,-0.12766756,-7.5515966,2
-5.448045,6.964228,5.366908,2
-7.4644794,4.5115824,-0.9283503,2
1.7838421,15.362396,-8.0039015,0
-8.428041,-12.1674,-2.100367,2
-9.634115,-10.316245,-4.41413,2
-2.1514373,-2.364925,-1.6904812,2
18.867256,3.1528203,-0.094547085,1
-8.4878235,-0.7513225,-6.655735,2
-10.558658,-8.150072,-5.493958,2
-10.479604,-1.4218296,-6.4107857,2
19.742409,4.7637763,0.19179268,1
-7.5997868,-13.40798,-0.50169474,2
-4.7763815,-14.942201,3.7866104,2
-10.192665,-10.569189,-4.2648625,2
-6.802645,4.328264,-0.20852172,2
-4.229572,-2.6077745,-1.9702696,2
-7.4644794,4.5115824,-0.9283503,2
-8.428041,-12.1674,-2.100367,2
18.762379,3.2843277,-0.16840841,1
-10.504361,-0.7949608,-6.6622996,2
-2.1514373,-2.364925,-1.6904812,2
-5.500809,5.963138,-1.4598879,0
-6.021136,5.648571,-1.3022826,0
2.4989727,17.548096,-7.401004,0
14.484622,-5.374308,-0.88632596,1
-7.7140336,-2.2713852,-3.9261806,2
-5.9399576,-2.3909185,-1.9434285,2
-0.9944226,-2.725694,-2.8250182,1
3.3360248,17.604624,-6.9215093,0
-4.7763815,-14.942201,3.7866104,2
15.561319,-3.625054,-0.21941191,1
20.037046,5.91368,0.03521279,1
14.464417,-5.4001036,-0.88803256,1
17.527521,0.9195963,-0.20433088,1
-3.253957,-16.230753,4.108264,2
-5.384182,-14.157136,2.6497688,2
1.055549,-2.8222003,-3.7716873,1
-2.2593052,-1.3192401,-1.338611,2
-10.748003,-8.181805,-6.248035,2
14.357153,-5.5509853,-0.90287775,1
-4.7763815,-14.942201,3.7866104,2
-0.064128734,2.009417,3.5256426,4
2.037881,5.2138376,-1.451751,0
19.558882,3.9832263,0.1233494,1
0.6552076,-2.7511501,-3.5206323,1
-7.6266675,-12.7764635,-0.24391478,2
-0.52474207,-2.7316437,-3.023303,1
1.1422706,14.398842,-8.198072,0
1.7838421,15.362396,-8.0039015,0
-3.18146,-16.45679,3.9625862,2
1.5160955,-3.7519126,11.724608,4
-8.428041,-12.1674,-2.100367,2
-9.978725,-10.239946,-4.140588,2
-2.1514373,-2.364925,-1.6904812,2
-4.3007812,-2.6818717,-2.1355808,2
-9.178176,-0.1329758,-7.5299983,2
5.5027456,-11.039543,-2.5278149,1
-10.112805,-1.4006541,0.44400248,2
1.7838421,15.362396,-8.0039015,0
-1.0725441,0.7619636,5.3596206,4
-6.9477015,4.953699,-0.9982699,0
2.4989727,17.548096,-7.401004,0
-7.112873,4.8525887,-1.0053089,0
0.6362972,-2.7920241,-3.5615287,1
-9.575896,-1.8856233,0.59910613,2
-9.999237,-0.78519213,0.78824097,2
16.294008,-2.1080327,-0.3965618,1
-10.259617,-1.1840822,-6.941103,2
17.213926,-0.3217866,-0.07019022,1
-1.4552363,4.3257394,1.6057104,0
-8.754763,-12.322588,-1.958694,2
-4.3147054,-14.683747,3.3841283,2
5.592663,-5.140272,-6.1473713,1
-4.569349,6.753961,-2.2758043,0
0.39769876,6.3829665,-1.9684402,0
-2.3134942,7.239612,-2.9341002,0
6.286123,-2.6392472,-3.1617248,1
-9.134105,-0.6971779,-6.344557,2
2.7708256,17.729332,-6.719725,0
-4.86123,6.4008756,-1.8342916,0
4.1872287,-3.649601,-9.63945,1
-4.7763815,-14.942201,3.7866104,2
-1.5950148,9.984968,-7.265292,0
-3.1977336,-16.40972,3.9902823,2
-10.504361,-0.7949608,-6.6622996,2
-4.4600596,-2.5401716,-1.843439,2
-6.021136,5.648571,-1.3022826,0
-10.2488985,-8.280873,-5.988371,2
-3.8573651,-2.5860555,-1.9086474,2
0.37581426,13.166301,-8.359211,0
-0.73021585,-2.720923,-2.9255614,1
-9.458279,-0.266376,-6.9827166,2
19.3032,4.1024666,0.4390316,1
-10.178892,-7.9369335,-5.8555865,2
-8.914507,2.8337579,-0.64617306,2
0.37581426,13.166301,-8.359211,0
4.0122914,-3.254661,-9.436608,1
-7.2107234,4.7004867,-0.90972584,2
2.3832262,16.807634,-7.2855225,0
19.283987,4.961438,-0.1714479,1
-7.065043,-13.470488,-0.16843867,2
-9.3317375,-0.8733843,1.1078477,2
17.058023,-0.5535985,-0.14455833,1
-6.7678747,5.099023,-1.0540171,0
3.1651514,17.218674,-7.4676685,0
-3.950843,-15.360477,4.608973,2
5.6819725,-2.020656,-2.6045742,1
4.719198,0.14522637,2.0477114,1
-9.463025,-10.796133,-4.0876617,2
-7.0496764,-12.917156,-0.019173518,2
-1.2493073,9.93426,-7.3051925,0
-4.7763815,-14.942201,3.7866104,2
1.974781,16.10441,-7.688812,0
-10.515725,-7.5732865,-5.8703794,2
-10.084412,-1.805443,0.67071474,2
1.0845127,14.307088,-8.21426,0
3.3360248,17.604624,-6.9215093,0
-10.749317,-8.41404,-5.9804926,2
17.724924,0.73151684,0.30257156,1
-8.423292,3.4467435,-0.70976484,2
17.973999,0.7804498,-0.045591526,1
6.4701343,-11.819964,-2.478224,1
-3.6160183,-2.6894593,-2.1262417,2
-8.509941,-0.75243986,-6.5380583,2
-1.3698128,-2.7812042,-2.778829,1
4.9743896,-0.9052302,1.232876,1
17.213926,-0.3217866,-0.07019022,1
-7.4644794,4.5115824,-0.9283503,2
6.123532,-3.0725884,-3.1217668,1
14.497327,-5.3533297,-0.88147575,1
-10.060505,-1.051177,-6.079552,2
15.367684,-3.382123,-0.8786095,1
-0.153026,8.028192,-4.3847775,0
-4.719819,-14.339633,4.1316395,2
19.742409,4.7637763,0.19179268,1
17.213926,-0.3217866,-0.07019022,1
-5.2691565,-14.21492,2.8364174,2
-1.2179148,2.4805377,3.8114934,4
2.924717,16.959822,-7.0301046,0
19.734623,5.3410954,-0.17288224,1
19.03613,4.196154,0.4132117,1
-7.7798257,-13.054895,-0.04094283,2
-1.4905921,8.971487,5.101455,3
18.208826,1.9724525,0.03181236,1
-8.998654,2.729911,-0.6430334,2
-1.1033098,-2.5960255,-2.5489235,1
-3.7119331,11.958149,6.144787,3
-4.7763815,-14.942201,3.7866104,2
5.6271234,-3.1734076,-2.9986897,1
1.6416839,15.375268,-8.000529,0
3.3423326,3.641371,-0.767961,1
-5.500809,5.963138,-1.4598879,0
5.611241,-10.872371,-2.4896715,1
-10.915891,-8.135268,-5.6493807,2
-9.696436,-10.980255,-4.1149883,2
19.860214,7.03013,1.2018198,1
12.692217,-7.705818,-1.2269815,1
-0.25047606,-1.3146755,8.969498,4
14.44303,-5.4338617,-0.89544237,1
3.8856876,-3.2694283,-9.740732,1
-8.642576,3.1530664,-0.65301204,2
-10.133906,4.7767987,11.184252,0
-1.60054,8.985295,5.110067,3
6.5688634,-11.322513,-2.423893,1
-5.342643,-14.177258,2.717584,2
-10.133906,4.7767987,11.184252,0
-2.6880023,8.740768,4.561553,3
-8.601611,-12.212477,-1.8079158,2
20.104887,6.628734,0.56292284,1
2.1754968,-3.0889845,-4.7570395,1
-0.8696069,-3.1028214,9.262045,4
-2.6631517,-0.62995917,5.344748,4
-7.7461543,-13.357147,-0.058386806,2
-10.133906,4.7767987,11.184252,0
6.887988,3.048771,0.21607345,1
4.5148964,-0.28804874,2.0118456,1
1.6497179,-3.3844914,11.818509,4
-4.2097387,-0.82630044,4.072062,2
19.105143,4.0102615,-0.33690685,1
